Model,MAE,MSE,RMSE,R2
RandomForest,626.4815758200547,830922.9817069987,911.549769188166,0.9142562103316831
XGBoost,594.7902221679688,721288.75,849.2872011280989,0.925569474697113
GradientBoosting,693.6974674225505,961668.7150218232,980.6470899471549,0.9007644248062117
Stacking,573.0544799000617,682800.3639670848,826.3173506390174,0.929541134277968
