三效液相温度,三效气相温度,三效蒸发室气相压力,出料泵电流1,出料泵电流2,出料流量
53.835003,49.357502,-79.520004,11.1465,0.0207,1.0
53.572498,49.237499,-79.599998,11.1141,0.0207,1.0
53.227501,49.147503,-79.75,11.232,0.0207,1.0
53.2425,49.072498,-79.729996,11.208599,0.0207,1.0
53.084999,49.065002,-79.75,11.1132,0.0207,1.0
52.8825,49.005001,-79.860001,11.203199,0.0207,1.0
52.732502,48.914997,-79.949997,11.1555,0.0207,1.0
52.357498,48.832497,-80.020004,11.1312,0.0207,1.0
52.387497,48.787498,-80.080002,11.1285,0.0207,1.0
52.23,49.049999,-80.199997,11.1744,0.0207,1.0
51.959999,49.110001,-80.169998,11.130301,0.0207,1.0
51.5625,49.057499,-80.43,11.1492,0.0207,1.0
52.469997,49.005001,-79.410004,11.1222,0.0207,1.0
53.579998,49.1175,-79.379997,11.106,0.0207,1.0
53.91,49.387501,-79.260002,11.1114,0.0207,1.0
53.970001,49.68,-79.129997,11.1069,0.0207,1.0
54.059998,50.130001,-79.129997,11.1447,0.0207,1.0
54.150002,50.280003,-79.059998,11.1321,0.0207,1.0
54.195,50.392498,-79.050003,11.0943,0.0207,1.0
54.172501,50.550003,-78.900002,11.1357,0.0207,1.0
54.210003,50.5425,-78.989998,11.1069,0.0207,1.0
54.037498,50.504997,-78.940002,11.1366,0.0207,1.0
53.917503,50.459999,-79.040001,11.0718,0.0207,1.0
53.715,50.43,-79.029999,11.097,0.0207,1.0
53.572498,50.385002,-79.150002,11.2005,0.0207,1.0
53.377502,50.309998,-79.209999,11.115,0.0207,1.0
53.204998,50.227501,-79.309998,11.2257,0.0207,1.0
53.002502,50.16,-79.410004,11.1105,0.0207,1.0
52.927498,50.122498,-79.479996,11.0664,0.0207,1.0
52.657497,50.047501,-79.589996,11.0988,0.0207,1.0
52.552498,49.98,-79.729996,11.158199,0.0207,1.0
52.327503,49.897499,-79.729996,11.1312,0.0207,1.0
52.185001,49.807499,-79.800003,11.1357,0.0207,1.0
51.555,49.575001,-80.080002,11.130301,0.0207,1.0
51.435001,49.440002,-80.150002,11.1402,0.0207,1.0
51.0975,49.170002,-80.370003,11.1123,0.0207,1.0
50.9175,49.035,-80.419998,11.0943,0.0207,1.0
52.935001,49.102497,-79.369995,11.207701,0.0207,1.0
53.122501,49.289997,-79.339996,11.1537,0.0207,1.0
52.949997,49.462502,-79.43,11.1285,0.0207,1.0
52.7925,49.582497,-79.540001,11.0817,0.0207,1.0
52.455002,49.642498,-79.639999,11.1789,0.0207,1.0
52.169998,49.657501,-79.760002,11.126699,0.0207,1.0
51.975002,49.612499,-79.839996,11.1222,0.0207,1.0
51.899998,49.545002,-79.919998,11.1285,0.0207,1.0
51.899998,49.477497,-79.979996,11.115,0.0207,1.0
51.764999,49.387501,-80.040001,11.1609,0.0207,1.0
51.697498,49.312504,-80.080002,11.1447,0.0207,1.0
51.57,49.2225,-80.120003,11.0862,0.0207,1.0
51.502499,49.154999,-80.18,11.0808,0.0207,1.0
51.450001,49.079998,-80.25,11.1339,0.0207,1.0
51.397499,49.012501,-80.230003,11.1042,0.0207,1.0
51.3675,48.93,-80.32,11.170799,0.0207,1.0
51.232498,48.862499,-80.32,11.0538,0.0207,1.0
51.307499,48.802498,-80.330002,11.1348,0.0207,1.0
51.0975,48.704998,-80.32,11.1078,0.0207,1.0
51.119999,48.6525,-80.360001,11.1672,0.0207,1.0
51.067497,48.599998,-80.43,11.1285,0.0207,1.0
51.052502,48.547501,-80.470001,11.097,0.0207,1.0
50.805,48.48,-80.520004,11.1249,0.0207,1.0
50.632504,48.315002,-80.68,11.0493,0.0207,1.0
50.609997,48.217499,-80.739998,11.0475,0.0207,1.0
50.4375,48.120003,-80.879997,11.1195,0.0207,1.0
50.130001,47.910004,-80.979996,11.183399,0.0207,1.0
52.199997,47.9025,-79.919998,11.0718,0.0207,1.0
52.529999,48.120003,-79.849998,11.1132,0.0207,1.0
52.762497,48.360001,-79.760002,11.1348,0.0207,1.0
52.560001,48.585003,-79.82,11.1033,0.0207,1.0
52.094997,48.735001,-80.050003,11.120399,0.0207,1.0
51.7425,48.7575,-80.239998,11.1024,0.0207,1.0
51.314999,48.697498,-80.400002,11.1168,0.0207,1.0
51.209999,48.599998,-80.360001,11.115,0.0207,1.0
51.105,48.502502,-80.5,11.0925,0.0207,1.0
50.984997,48.2925,-80.559998,11.1141,0.0207,1.0
50.849998,48.195,-80.510002,11.169001,0.0207,1.0
50.872501,47.947498,-80.619995,11.1915,0.0207,1.0
50.827499,47.895,-80.629997,11.130301,0.0207,1.0
50.782501,47.759998,-80.720001,11.1555,0.0207,1.0
50.805,47.685001,-80.690002,11.151,0.0207,1.0
50.662498,47.617496,-80.720001,11.1375,0.0207,1.0
50.632504,47.549999,-80.739998,11.0763,0.0207,1.0
50.535,47.415001,-80.769997,11.0592,0.0207,1.0
50.535,47.362499,-80.790001,11.1006,0.0207,1.0
50.527496,47.302498,-80.830002,11.0718,0.0207,1.0
50.392498,47.25,-80.869995,11.0358,0.0207,1.0
50.272499,47.182503,-80.869995,11.1159,0.0207,1.0
51.532501,47.047501,-79.93,11.0997,0.0207,1.0
52.125,47.197498,-80.010002,11.0655,0.0207,1.0
52.522499,47.482498,-79.82,11.043,0.0207,1.0
52.477501,47.767502,-79.900002,11.0178,0.0207,1.0
52.169998,47.932503,-80.040001,11.0718,0.0207,1.0
51.855,47.969997,-80.199997,11.07,0.0207,1.0
51.614998,47.9025,-80.349998,11.1159,0.0207,1.0
50.962498,47.617496,-80.610001,11.07,0.0207,1.0
50.9925,47.489998,-80.610001,11.0457,0.0207,1.0
50.9925,47.370003,-80.68,10.9602,0.0207,1.0
50.805,47.272499,-80.729996,10.9332,0.0207,1.0
50.752499,47.2425,-80.669998,10.9467,0.0207,1.0
50.767502,47.294998,-80.739998,11.012401,0.0207,1.0
50.737503,47.310001,-80.709999,11.0493,0.0207,1.0
50.752499,47.34,-80.729996,11.0736,0.0207,1.0
50.595001,47.310001,-80.75,11.001599,0.0207,1.0
50.609997,47.189999,-80.720001,11.0331,0.0207,1.0
50.6175,46.77,-80.790001,11.0241,0.0207,1.0
50.955002,46.732498,-80.57,11.0322,0.0207,1.0
51.007504,46.754997,-80.550003,10.9269,0.0207,1.0
50.8125,46.717499,-80.610001,11.0538,0.0207,1.0
50.8125,46.68,-80.660004,11.0673,0.0207,1.0
52.102501,46.68,-80.059998,11.0511,0.0207,1.0
52.237499,47.009998,-79.940002,11.037601,0.0207,1.0
52.327503,47.310001,-79.889999,11.0637,0.0207,1.0
52.245003,47.512497,-79.979996,10.948501,0.0207,1.0
